,actual,temperature,precipitation,air_density,cloud_cover
2012/1/12 3:00,30926.03564,7.07,0,1.253,0.934
2012/1/12 4:00,32695.28469,6.267,0,1.259,0.918
2012/1/12 5:00,36337.36432,5.464,0,1.266,0.748
2012/1/12 6:00,41481.00396,4.559,0,1.273,0.302
2012/1/12 7:00,43322.51143,3.911,0,1.278,0.191
2012/1/12 8:00,42175.07538,4.572,0,1.28,0.118
2012/1/12 9:00,41777.43477,5.913,0,1.279,0.289
2012/1/12 10:00,41327.05514,7.465,0.004,1.274,0.505
2012/1/12 11:00,40455.05732,8.542,0.004,1.269,0.812
2012/1/12 12:00,39609.05417,8.789,0.004,1.266,0.919
2012/1/12 13:00,38844.21974,8.221,0.004,1.266,0.954
2012/1/12 14:00,38186.5873,7.831,0.002,1.267,0.953
2012/1/12 15:00,38064.20802,7.211,0,1.268,0.979
2012/1/12 16:00,38777.13898,6.609,0.001,1.27,0.957
2012/1/12 17:00,41052.30952,5.497,0.001,1.272,0.768
2012/1/12 18:00,44183.45688,4.531,0.001,1.275,0.563
2012/1/12 19:00,44645.98392,3.521,0.001,1.278,0.397
2012/1/12 20:00,44688.72598,2.207,0.001,1.281,0.838
2012/1/12 21:00,43595.71563,1.67,0,1.285,0.735
2012/1/12 22:00,41486.50371,0.605,0,1.288,0.134
2012/1/12 23:00,39310.93913,-0.043,0,1.29,0.02
2012/1/13 0:00,38059.30719,0.112,0,1.292,0.077
2012/1/13 1:00,37567.72795,0.303,0.004,1.293,0.094
2012/1/13 2:00,37407.34427,0.353,0.004,1.293,0.022
2012/1/13 3:00,37651.35143,0.497,0.004,1.293,0.024
2012/1/13 4:00,38723.50621,0.351,0.001,1.294,0.006
2012/1/13 5:00,41584.89956,-0.109,0.001,1.295,0.003
2012/1/13 6:00,45931.97292,-0.408,0,1.295,0.048
2012/1/13 7:00,46917.01811,-0.345,0,1.296,0.05
2012/1/13 8:00,44839.97679,2.686,0,1.295,0.048
2012/1/13 9:00,42585.88465,5.414,0.002,1.287,0.396
2012/1/13 10:00,40272.07266,8.478,0.002,1.273,0.564
2012/1/13 11:00,37919.73774,9.733,0.001,1.268,0.486
2012/1/13 12:00,36079.83561,10.626,0,1.263,0.432
2012/1/13 13:00,34677.82826,11.216,0,1.259,0.498
2012/1/13 14:00,33343.11714,11.522,0,1.256,0.384
2012/1/13 15:00,32507.89735,11.458,0,1.254,0.169
2012/1/13 16:00,32416.31845,10.743,0,1.254,0.013
2012/1/13 17:00,33864.27857,9.244,0,1.254,0.009
2012/1/13 18:00,36863.27036,8.936,0,1.256,0.016
2012/1/13 19:00,37548.98169,8.114,0,1.257,0.013
2012/1/13 20:00,37920.87784,6.559,0,1.259,0.01
2012/1/13 21:00,37712.10581,5.064,0,1.261,0.011
2012/1/13 22:00,36723.5418,4.041,0,1.264,0.012
2012/1/13 23:00,35374.81818,3.393,0,1.267,0.011
2012/1/14 0:00,34418.16971,3.001,0,1.269,0.012
2012/1/14 1:00,33982.38795,2.675,0,1.272,0.013
2012/1/14 2:00,33949.04835,2.347,0,1.274,0.014
2012/1/14 3:00,34254.33466,2.055,0,1.276,0.016
2012/1/14 4:00,35103.09563,1.737,0,1.278,0.011
2012/1/14 5:00,36496.06372,1.355,0,1.28,0.005
2012/1/14 6:00,38423.33203,0.869,0,1.283,0.001
2012/1/14 7:00,39968.48611,1.034,0,1.286,0
2012/1/14 8:00,40018.61082,4.613,0,1.288,0
2012/1/14 9:00,38555.11321,7.237,0,1.281,0
2012/1/14 10:00,36453.54405,11.163,0,1.264,0
2012/1/14 11:00,34315.99719,14.139,0,1.25,0
2012/1/14 12:00,32273.75141,15.31,0,1.244,0
2012/1/14 13:00,30694.25347,15.943,0,1.239,0
2012/1/14 14:00,29551.77582,16.13,0,1.236,0
2012/1/14 15:00,28931.10583,15.811,0,1.235,0
2012/1/14 16:00,28752.00531,14.139,0,1.235,0
2012/1/14 17:00,29816.82301,11.338,0,1.237,0
2012/1/14 18:00,32383.98798,9.89,0,1.239,0
2012/1/14 19:00,32803.81223,8.656,0,1.242,0
2012/1/14 20:00,32994.39818,7.431,0,1.245,0
2012/1/14 21:00,32814.66669,6.421,0,1.248,0
2012/1/14 22:00,32045.02929,5.721,0,1.252,0
2012/1/14 23:00,31063.495,5.29,0,1.255,0
2012/1/15 0:00,30282.60993,4.977,0,1.257,0
2012/1/15 1:00,29949.13034,4.775,0.002,1.258,0.001
2012/1/15 2:00,30003.41423,4.613,0.002,1.259,0.074
2012/1/15 3:00,30319.92674,4.642,0.002,1.26,0.335
2012/1/15 4:00,30887.44832,4.95,0,1.26,0.376
2012/1/15 5:00,31968.77898,5.394,0,1.26,0.639
2012/1/15 6:00,33423.70855,5.71,0,1.26,0.874
2012/1/15 7:00,34648.17775,6.241,0,1.259,0.861
2012/1/15 8:00,35288.09417,9.655,0,1.257,0.755
2012/1/15 9:00,34641.20608,12.778,0,1.25,0.561
2012/1/15 10:00,33230.61905,16.126,0,1.236,0.289
2012/1/15 11:00,31767.33862,18.142,0,1.226,0.133
2012/1/15 12:00,30806.24281,19.201,0,1.22,0.048
2012/1/15 13:00,30035.28836,19.736,0,1.216,0.219
2012/1/15 14:00,29307.74778,19.472,0,1.214,0.534
2012/1/15 15:00,29074.76612,18.591,0,1.214,0.564
2012/1/15 16:00,29125.72752,17.373,0.001,1.217,0.493
2012/1/15 17:00,30455.05449,15.659,0,1.221,0.372
2012/1/15 18:00,32449.50614,14.884,0,1.224,0.2
2012/1/15 19:00,32344.21848,14.338,0,1.226,0.133
2012/1/15 20:00,31620.17953,14.095,0,1.226,0.276
2012/1/15 21:00,30540.53304,14.026,0,1.225,0.516
2012/1/15 22:00,28819.52523,14.344,0,1.224,0.674
2012/1/15 23:00,26833.51016,14.571,0,1.223,0.578
2012/1/16 0:00,25381.87124,14.351,0,1.222,0.47
